Vernier Format 2
Sin título.cmbl 13/11/2025 15:03:15 .
Último
Tiempo	Campo magnético	Corriente
t	B	I
s	mT	A

0.41	-0.127460714401	0.00532150268555
0.411	-0.0605356675514	0.00532150268555
0.412	-0.0214140409007	0.0056266784668
0.413	0.010080098793	0.0056266784668
0.414	0.108007189403	0.0056266784668
0.415	0.186496490671	0.0056266784668
0.416	0.159185166405	0.0056266784668
0.417	0.221927397826	0.0056266784668
0.418	0.347411860668	0.0056266784668
0.419	0.300416699094	0.0056266784668
0.42	0.35134862813	0.00532150268555
0.421	0.418027627013	0.00532150268555
0.422	0.547448857316	0.00532150268555
0.423	0.524074300512	0.0050163269043
0.424	0.539575322393	0.0050163269043
0.425	0.590753299395	0.00471115112305
0.426	0.67687008762	0.00442504882812
0.427	0.814410900814	0.00411987304688
0.428	0.692617157467	0.00381469726562
0.429	0.735921599546	0.00350952148438
0.43	0.790790296043	0.00320434570312
0.431	0.896590921577	0.00289916992188
0.432	0.998700827615	0.00259399414062
0.433	0.861406062388	0.00228881835938
0.434	0.900527689038	0.00198364257812
0.435	0.947768898579	0.00167846679688
0.436	1.07719012888	0.00137329101562
0.437	0.982953757768	0.000762939453125
0.438	0.975080222845	0.000457763671875
0.439	0.998700827615	0.000457763671875
0.44	1.06931659396	-0.000152587890625
0.441	1.17930003492	-0.000457763671875
0.442	1.01838466492	-0.00104904174805
0.443	1.03019496731	-0.0013542175293
0.444	1.05356952411	-0.00165939331055
0.445	1.15567943015	-0.00226974487305
0.446	1.01838466492	-0.0025749206543
0.447	1.00263759508	-0.00288009643555
0.448	1.02232143239	-0.0031852722168
0.449	1.11631175553	-0.00349044799805
0.45	0.963515968426	-0.00410079956055
0.451	0.951705666041	-0.0044059753418
0.452	0.959579200964	-0.00471115112305
0.453	1.04569598919	-0.0050163269043
0.454	0.877153132235	-0.00532150268555
0.455	0.861406062388	-0.0056266784668
0.456	0.916274758885	-0.00593185424805
0.457	0.786853528582	-0.00593185424805
0.458	0.767169691273	-0.00652313232422
0.459	0.814410900814	-0.00682830810547
0.46	0.684743622543	-0.00682830810547
0.461	0.704427459852	-0.00743865966797
0.462	0.602317553814	-0.00774383544922
0.463	0.575006229548	-0.00774383544922
0.464	0.524074300512	-0.00774383544922
0.465	0.465022788587	-0.00804901123047
0.466	0.421964394474	-0.00804901123047
0.467	0.382596719857	-0.00804901123047
0.468	0.331664790821	-0.00804901123047
0.469	0.280732861786	-0.00804901123047
0.47	0.233491652245	-0.00804901123047
0.471	0.186496490671	-0.00804901123047
0.472	0.135564561635	-0.00804901123047
0.473	0.0883233520944	-0.00774383544922
0.474	0.0334546555969	-0.00774383544922
0.475	-0.017477273439	-0.00774383544922
0.476	-0.0644724350132	-0.00743865966797
0.477	-0.107776877092	-0.00743865966797
0.478	-0.150835271204	-0.00713348388672
0.479	-0.202013248207	-0.00682830810547
0.48	-0.237198107396	-0.00682830810547
0.481	-0.280256501508	-0.00652313232422
0.482	-0.315687408664	-0.00593185424805
0.483	-0.358745802776	-0.00593185424805
0.484	-0.386303175008	-0.0056266784668
0.485	-0.425424801659	-0.00532150268555
0.486	-0.452982173891	-0.0050163269043
0.487	-0.480539546123	-0.0044059753418
0.488	-0.515724405312	-0.0044059753418
0.489	-0.539345010082	-0.0037956237793
0.49	-0.562965614852	-0.00349044799805
0.491	-0.582403404194	-0.0031852722168
0.492	-0.598150474041	-0.00288009643555
0.493	-0.609960776426	-0.0025749206543
0.494	-0.61783431135	-0.00226974487305
0.495	-0.629644613735	-0.0019645690918
0.496	-0.633581381197	-0.0013542175293
0.497	-0.637518148658	-0.00104904174805
0.498	-0.633581381197	-0.000762939453125
0.499	-0.633581381197	-0.000457763671875
0.5	-0.629644613735	0.000152587890625
0.501	-0.625707846273	0.000457763671875
0.502	-0.613897543888	0.000762939453125
0.503	-0.602087241503	0.00106811523438
0.504	-0.590276939118	0.00167846679688
0.505	-0.570593101809	0.00167846679688
0.506	-0.551155312467	0.00198364257812
0.507	-0.531471475158	0.00228881835938
0.508	-0.507850870388	0.00289916992188
0.509	-0.472666011199	0.00320434570312
0.51	-0.441171871506	0.00320434570312
0.511	-0.41386054724	0.00350952148438
0.512	-0.378429640085	0.00381469726562
0.513	-0.339308013434	0.00411987304688
0.514	-0.303877106278	0.00411987304688
0.515	-0.264755479628	0.00442504882812
0.516	-0.225387805011	0.00471115112305
0.517	-0.158708806128	0.00471115112305
0.518	-0.146898503743	0.00532150268555
0.519	-0.111713644554	0.00532150268555
0.52	-0.0644724350132	0.00532150268555
0.521	0.0610120278288	0.00532150268555
0.522	0.0140168662547	0.00532150268555
0.523	0.0806958651374	0.0056266784668
0.524	0.210117095441	0.00532150268555
0.525	0.159185166405	0.0056266784668
0.526	0.217990630365	0.0056266784668
0.527	0.32772802336	0.00532150268555
0.528	0.378906000362	0.00532150268555
0.529	0.339538325745	0.00532150268555
0.53	0.398343789704	0.0050163269043
0.531	0.49651692828	0.00471115112305
0.532	0.633811693508	0.00471115112305
0.533	0.527765020008	0.00442504882812
0.534	0.575006229548	0.00442504882812
0.535	0.629874926046	0.00411987304688
0.536	0.751422621426	0.00411987304688
0.537	0.790790296043	0.00381469726562
0.538	0.720174529699	0.00350952148438
0.539	0.767169691273	0.00320434570312
0.54	0.833848690156	0.00289916992188
0.541	0.971143455383	0.00259399414062
0.542	0.841722225079	0.00198364257812
0.543	0.873216364773	0.00167846679688
0.544	0.916274758885	0.00167846679688
0.545	1.02625819985	0.00137329101562
0.546	1.09687396619	0.000457763671875
0.547	0.955642433502	0.000457763671875
0.548	0.979016990306	-0.000152587890625
0.549	1.03019496731	-0.000152587890625
0.55	1.14386912777	-0.000762939453125
0.551	0.98689052523	-0.00104904174805
0.552	0.998700827615	-0.0013542175293
0.553	1.03019496731	-0.0019645690918
0.554	1.12418529046	-0.0019645690918
0.555	0.998700827615	-0.0025749206543
0.556	0.982953757768	-0.00288009643555
0.557	0.98689052523	-0.0031852722168
0.558	1.07325336142	-0.00349044799805
0.559	0.935958596194	-0.00410079956055
0.56	0.924148293809	-0.0044059753418
0.561	0.92808506127	-0.0050163269043
0.562	1.01838466492	-0.0050163269043
0.563	0.853532527464	-0.00532150268555
0.564	0.837785457617	-0.0056266784668
0.565	0.885026667158	-0.00593185424805
0.566	0.771106458735	-0.00652313232422
0.567	0.747485853964	-0.00652313232422
0.568	0.778979993658	-0.00652313232422
0.569	0.665305833201	-0.00682830810547
0.57	0.688680390005	-0.00713348388672
0.571	0.582879764472	-0.00713348388672
0.572	0.575006229548	-0.00743865966797
0.573	0.504390463204	-0.00774383544922
0.574	0.449521766706	-0.00774383544922
0.575	0.402280557166	-0.00804901123047
0.576	0.363158930515	-0.00804901123047
0.577	0.315917720975	-0.00804901123047
0.578	0.264985791939	-0.00804901123047
0.579	0.217990630365	-0.00804901123047
0.58	0.166812653362	-0.00804901123047
0.581	0.119817491788	-0.00804901123047
0.582	0.0688855627523	-0.00804901123047
0.583	0.0216443532117	-0.00804901123047
0.584	-0.0253508083624	-0.00774383544922
0.585	-0.0762827373983	-0.00743865966797
0.586	-0.123523946939	-0.00743865966797
0.587	-0.170519108513	-0.00682830810547
0.588	-0.213577502625	-0.00682830810547
